"name","repo_name","all_routers_removed","weeks_survived","category","category_comment"
"test_flag","CenterForOpenScience/osf.io",false,21,"UNKNOWN","Toggle used to test django-waffle works with a specific situation of the application. Router wrapped in a test helper."
"publish_program_to_marketing_site","edx/course-discovery",false,171,"UNKNOWN","Being an 'all-or-nothing' Waffle switch, the longevity of the toggle and the few commits suggest this is an OPS, but still unclear."
"threaded_metadata_write","edx/course-discovery",false,168,"OPS","Commit message explains the Waffle switch usage relates to thread-safe database writes, impacting directly in the system's performance. See code under PR364."
"parallel_refresh_pipeline","edx/course-discovery",false,168,"OPS","Depends on threaded_metadata_write. Commit message explains the Waffle switch usage relates to parallel executions, impacting directly in the system's performance. See execute_parallel_loader's comment under related PR364."
"reduced_program_data","edx/course-discovery",true,2,"OPS","Toggle hides a feature to reduce expensive operations. One commit to create and another commit to remove indicates the toggle was used as a failsafe mechanism in case the feature did not work as expected. This is aligned with one of the two usages in docs https://edx-discovery.readthedocs.io/en/latest/advanced.html#waffle"
"enable_publisher_email_notifications","edx/course-discovery",false,164,"RELEASE","The same toggle is used to enable/disable distinct types of emails across the system. This is clearly a 'product-centric' toggle in which each installation decides the state of the feature."
"publisher_hide_features_for_pilot","edx/course-discovery",true,136,"RELEASE","On removal, DISCO-625 reporter indicates this toggle was used while the 'publisher' feature was being created."
"publisher_add_instructor_feature","edx/course-discovery",true,135,"RELEASE","On removal, DISCO-625 reporter indicates this toggle was used while the 'publisher' feature was being created."
"publisher_comment_widget_feature","edx/course-discovery",true,132,"RELEASE","On removal, DISCO-625 reporter indicates this toggle was used while the 'publisher' feature was being created."
"publisher_approval_widget_feature","edx/course-discovery",true,132,"RELEASE","On removal, reporter of DISCO-1327's parent issue, DISCO-625, indicates this toggle was used while the 'publisher' feature was being created."
"publisher_history_widget_feature","edx/course-discovery",true,132,"RELEASE","On removal, reporter of DISCO-1328's parent issue, DISCO-625, indicates this toggle was used while the 'publisher' feature was being created."
"publish_person_to_marketing_site","edx/course-discovery",false,143,"RELEASE","Author comment and the code changes in PR1692 shows the feature under the toggle evolves and was incomplete."
"publish_course_runs_to_marketing_site","edx/course-discovery",false,139,"OPS","Code under the toggle publishes changes to another system, which could potentially affect the system's behavior."
"publisher_enable_course_import","edx/course-discovery",true,118,"RELEASE","On removal, reporter of DISCO-1329's parent issue, DISCO-625, indicates this toggle was used while the 'publisher' feature was being created."
"log_course_search_queries","edx/course-discovery",true,83,"UNKNOWN","Code under the toggle is a debug logging on a failure path."
"enable_publisher_create_course_run_in_studio","edx/course-discovery",false,118,"OPS","Code under the toggle publishes a course to another system, which could potentially affect the system's behavior."
"auto_course_about_page_creation","edx/course-discovery",false,116,"OPS","Code under the toggle publishes changes to another system, which could potentially affect the system's behavior."
"disable_publisher_permissions","edx/course-discovery",false,115,"PERMISSION","Author in commit message explains this toggle is to take a burden of the developers and bypass permissions."
"use_company_name_as_utm_source_value","edx/course-discovery",false,114,"OPS","Code under the toggle uses another system, which could potentially affect the system's behavior."
"publisher_create_audit_seats_for_verified_course_runs","edx/course-discovery",true,97,"RELEASE","On removal, reporter of DISCO-1330's parent issue, DISCO-625, indicates this toggle was used while the 'publisher' feature was being created."
"PUBLISHER_ENTITLEMENTS_WAFFLE_SWITCH","edx/course-discovery",true,4,"RELEASE","Same PUBLISHER_ENTITLEMENTS_WAFFLE_SWITCH. Removal commit message clearly indicates the feature has been stabilized."
"PUBLISHER_REMOVE_PACING_TYPE_EDITING","edx/course-discovery",true,48,"RELEASE","Repurposed from PUBLISHER_REMOVE_PACING_TYPE_EDITING. On removal, reporter of DISCO-1331's parent issue, DISCO-625, indicates this toggle was used while the 'publisher' feature was being created."
"production_data_for_tag_migration","edx/course-discovery",true,21,"RELEASE","According to author in DISCO-419 the feature behind the toggle was a 1-time migration."
"migrate_drupal_tags","edx/course-discovery",true,21,"RELEASE","Toggle was introduced to cover DISCO-419 implementation. According to the author the feature behind the toggle was a 1-time migration."
"MASTERS_COURSE_MODE_ENABLED","edx/course-discovery",false,43,"RELEASE","PR1794 introduced the toggle; later, in PR1803 a partial implementation of the feature was introduced. Message said: 'When this waffle flag is enabled we are eventually going to make an api call here...'"
"ENABLE_CREDIT_APP","edx/ecommerce",true,47,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Transitioned from flag to switch. Despite removed, it remains as 'Feature Gate' in latest docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"user_enrollments_on_dashboard","edx/ecommerce",false,235,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Called 'Feature Gate' in docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"publish_course_modes_to_lms","edx/ecommerce",false,233,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Called 'Feature Gate' in docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"ENABLE_NOTIFICATIONS","edx/ecommerce",false,229,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Called 'Feature Gate' in docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"PAYPAL_RETRY_ATTEMPTS","edx/ecommerce",false,223,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Called 'Feature Gate' in docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"async_order_fulfillment","edx/ecommerce",false,221,"RELEASE","'Product-centric', operator of installation determines if feature is enabled. Called 'Feature Gate' in docs: https://edx-ecommerce.readthedocs.io/en/latest/additional_features/gate_ecommerce.html."
"settings.PAYMENT_PROCESSOR_SWITCH_PREFIXcls.NAME","edx/ecommerce",false,213,"OPS","This is a wrapper of three different toggles. In https://edx-ecommerce.readthedocs.io/en/latest/additional_features/payment_processors.html#disabling-payment-processors authors clearly state this toggle is used 'disable faulty payment processor or processors'."
"send_level_2_3_details_to_cybersource","edx/ecommerce",true,1,"RELEASE","In PR#447 the author states 'This is primarily for the initial rollout. We want to ramp it up to make sure we don't break for everyone.'"
"settings.DISABLE_THEMING_ON_RUNTIME_SWITCH","edx/ecommerce",false,191,"RELEASE","In PR#649 one of the reviewers states 'a feature switch allowing for a dark launch of this code (such that theming would be ignored at runtime, but the mgmt commands would still work so that assets could be compiled and ready to go).'"
"ENROLLMENT_CODE_SWITCH","edx/ecommerce",true,97,"RELEASE","At removal PR#1660 all occurrences were removed, clearly indicating a launch. Also, one of the reviewers states the only 'options' that should remain are the ones in the UI (not these specific toggles), meaning this toggle is for a back-end feature and used to hide incomplete features from execution."
"sailthru_enable","edx/ecommerce",false,177,"RELEASE","In related PR#856 a reviewer indicates the feature should not be deployed until donde necesary configuration changes, to which the author responds will keep the waffle switches off until another component is ready. They have this toggle to push incomplete work forward."
"CLIENT_SIDE_CHECKOUT_FLAG_NAME","edx/ecommerce",false,163,"RELEASE","A reviewer in PR#986 indicates this toggle is to controll the feature per site, for each operator/manager to determine if enabled or not based on product requirements."
"settings.ENABLE_ENTERPRISE_ON_RUNTIME_SWITCH","edx/ecommerce",true,139,"RELEASE","'Product centric'. In PR#1104 the author describes that the toggle is used to activate the feature. In PR#2612 the removal of the toggle comes with the removal of the whole feature."
"USER_LIST_VIEW_SWITCH","edx/ecommerce",false,131,"OPS","Added due to LEARNER-864, to stop breaking the site. A kill switch."
"ORDER_LIST_VIEW_SWITCH","edx/ecommerce",false,131,"OPS","Added due to LEARNER-864 and LEARNER-2806, to stop breaking the site. A kill switch."
"create_and_set_webprofile","edx/ecommerce",false,130,"UNKNOWN","It is not clear from the PR, the jira issue or the code the type of usage for this toggle."
"REPEAT_PURCHASE_SWITCH_NAME","edx/ecommerce",false,130,"OPS","Rename of REPEAT_PURCHASE_SWITCH_NAME"
"use_multi_tenant_discovery_api_urls","edx/ecommerce",true,4,"RELEASE","LEARNER-1135 reporter comments this is a temporary toggle to rollout the feature and the issue sould be closed only when the toggle is removed."
"fire_non_order_events","edx/ecommerce",true,1,"OPS","Commit message mentions the toggle is created to determine the cause of an undesired system behavior."
"add-utm-params","edx/ecommerce",true,1,"OPS","In PR#1419 author indicates the toggle is to determine a misbehavior"
"optional_location_fields","edx/ecommerce",false,117,"OPS","They are running an A/B test with another system (Optimizely), this Waffle toggle is a fallback mechanism for the backend to not require some fields while running the test but to serve as a kill switch in case something bad happens. As the author points out in PR1477: 'a feature flag as a fallback safety measure to turn off the test changes until we can fix the bug'."
"switch","edx/ecommerce",false,113,"UNKNOWN","A non-Waffle wrapper to check for the values of a list of toggles."
"basket_transaction_on_commit","edx/ecommerce",true,15,"OPS","Author states in PR1694: 'The switch is very temporary, in case there are any unforeseen issues'"
"REFUND_LIST_VIEW_SWITCH","edx/ecommerce",false,89,"OPS","Message to user in the code indicates the refund list feature is deactivated by the toggle due to database load. A kill switch."
"use_cached_basket_calculate_for_marketing_user","edx/ecommerce",true,5,"OPS","Created to verify a performance fix. Author of the removal indicates in LEARNER-5038 the reasons to remove the toggle are due to stabilization of the feature under the toggle"
"use_basket_calculate_none_user","edx/ecommerce",true,4,"OPS","Created to verify a performance fix. Author of the removal indicates in LEARNER-5038 the reasons to remove the toggle are due to stabilization of the feature under the toggle"
"debug_logging_for_excessive_lms_calls","edx/ecommerce",true,4,"UNKNOWN","Created to verify a performance fix but the code under the toggle is just a logging call."
"debug_logging_predates_is_anonymous","edx/ecommerce",true,3,"UNKNOWN","Created to verify a performance fix but code under the flag is just a logging expression, it does not impact the behavior of the app."
"disable_calculate_temporary_basket_atomic_transaction","edx/ecommerce",true,10,"OPS","Created to rollout and verify performance-related work. Author of the removal indicates in LEARNER-5038 the reasons to remove the toggle are due to stabilization of the feature under the toggle"
"use_request_cache_for_getting_lms_resource","edx/ecommerce",true,1,"OPS","The toggle was added to enable a new tiered cache middleware across all ecommerce (See PR1750 and PR1761), clearly an important change with unclear performance implications."
"debug_logging_for_deprecated_traverse_pagination","edx/ecommerce",false,81,"UNKNOWN","In PR1776 the author indicates 'I added a waffle to log if this is being excessively used'"
"force_anonymous_user_response_for_basket_calculate","edx/ecommerce",true,4,"OPS","This toggle is part of a big epic, EG-19, to fix a performance issue. The toggle was removed after deciding to change the approach addressed by this flag (PR1839)."
"debug_logging_for_get_basket_switch_data","edx/ecommerce",true,2,"UNKNOWN","This toggle adds debug logging to confirm the application behaves as expected. PR1808 and PR1839."
"VOUCHER_VALIDATION_BEFORE_PAYMENT","edx/ecommerce",true,4,"OPS","This toggle hides a hot fix for LEARNER-5603 (PR1843), controls the hot fix works as expected. Removed after the root cause was fixed PR1871."
"PROGRAM_APPLICATOR_USE_FLAG","edx/ecommerce",false,66,"RELEASE","Renamed from PROGRAM_APPLICATOR_USE_FLAG."
"PROGRAM_APPLICATOR_LOG_FLAG","edx/ecommerce",false,66,"UNKNOWN","This toggle adds debug logging to confirm the application behaves as expected. A reviewer in PR1902 indicates the purpose: 'Maybe we could add logging or something to see if this actually is happening in the wild, so we could plug that hole if necessary. NOTE: Sometimes when we add temporary logging we hide it behind a flag to ensure we can turn it off if it is noisy.'"
"ENTERPRISE_OFFERS_FOR_COUPONS_SWITCH","edx/ecommerce",true,30,"OPS","Author in PR1952 and PR1925 indicates the toggle is used to activate/deactivate a refactoring of the 'enterprise discounting behavior' in a staging environment. Also, a detailed test plan is provided. Even after the first removal, they re-introduced them because the author thought the refactoring was the cause of an issue (PR2273), clearly, to use it as as a kill switch."
"jwt_decode_handler.log_exception.edx-drf-extensions","edx/ecommerce",false,58,"UNKNOWN","Code under the toggle is a debug logging on a failure path."
"jwt_decode_handler.log_exception.ecommerce-updated-config","edx/ecommerce",false,58,"UNKNOWN","Code under the toggle is a debug logging on a failure path."
"jwt_decode_handler.log_exception.ecommerce-original","edx/ecommerce",true,2,"UNKNOWN","Code under the toggle is a debug logging on a failure path."
"CUSTOM_APPLICATOR_LOG_FLAG","edx/ecommerce",false,58,"UNKNOWN","Code under the toggle is a debug logging on a failure path."
"USE_ROLE_BASED_ACCESS_CONTROL","edx/ecommerce",true,6,"RELEASE","A reviewer in PR2182 indicates: 'this is being used as a implementation detail of how we're rolling it out'. Comment under the code explicitly indicate this is a temporary check to bypass old permissions. Also, the toggle spans multiple commits, indicating partial implmentations."
"ENABLE_MICROFRONTEND_FOR_BASKET_PAGE_FLAG_NAME","edx/ecommerce",false,25,"RELEASE","Implementation notes in ARCH-758 explicitly state this toggle is to be enabled for specific users in a staging environment for testing purposes, e2e tests will break util updated."
"ALLOW_MISSING_LMS_USER_ID","edx/ecommerce",false,22,"UNKNOWN","In-code toggle metadata: 'Toggle for allowing a missing LMS user id without raising an exception'. Not sure about the type."
"DYNAMIC_DISCOUNT_FLAG","edx/ecommerce",false,21,"RELEASE","Toggle hiding a hacky solution to an issue that will be fixed in another jira issue."
"FORCE_MICROFRONTEND_BUCKET_FLAG_NAME","edx/ecommerce",true,5,"RELEASE","Removal commit comment R2621 says they have transitioned 100% of users to new feature. Also toggle metadata description says: 'Supports manual testing of a new micro-frontend-based implementation of the basket page.'"
"HUBSPOT_FORMS_INTEGRATION_ENABLE","edx/ecommerce",false,8,"RELEASE","Product-centric. In-code metadata describes that this toggle enables the integration of the application with a third-party service."
"switch_name","edx/edx-analytics-dashboard",false,273,"UNKNOWN","Waffle switch inside a non-Waffle wrapper that shows/hides items of the page navigation. In PR40 a reviewer states: 'We only have engagement behind a flag because the feature is not yet complete', when also refering to the other toggles. Several toggles are evaluated with it, including navbar_display_overview and navbar_display_engagement"
"show_engagement_demo_interface","edx/edx-analytics-dashboard",true,7,"RELEASE","On removal (PR103), the README indicates the toggle shows experimental content."
"show_engagement_forum_activity","edx/edx-analytics-dashboard",false,268,"RELEASE","On creation (PR82), author says the toggle is not 'intended to be long-lived and is only used in one location.'. It has transitioned to be a 'product-centric' toggle to be used on a specific product/configuration. Is still under the Feature Gating section of current README."
"display_verified_enrollment","edx/edx-analytics-dashboard",true,89,"RELEASE","Removed all routers after feature stabilization. Code under the toggle remained."
"course_homepage","edx/edx-analytics-dashboard",true,1,"RELEASE","A reviewer asks if the 'feature flag' is necessary' and the author responds: 'While the code is complete, the copy has not been reviewed. This isn't quite ready for release.'"
"enable_oidc_permissions_scope","edx/edx-analytics-dashboard",true,12,"RELEASE","Author disabled a feature by default and made it toggleable because this change could affect other installations (product centric). Removed after a long time. See PR255."
"enable_course_api","edx/edx-analytics-dashboard",false,253,"OPS","Code under the toggle uses another system to retrieve partial data, which could potentially affect the installation's behavior."
"display_course_name_in_nav","edx/edx-analytics-dashboard",false,243,"RELEASE","Depends on enable_course_api (PR334). Spans multiple authors and multiple commits, a product-centric feature."
"display_names_for_course_index","edx/edx-analytics-dashboard",true,100,"UNKNOWN","Depends on enable_course_api and the code under the toggle works the same when as the dependency toggle"
"enable_engagement_videos_pages","edx/edx-analytics-dashboard",false,231,"RELEASE","Still active under 'Feature Gating' section in README and code under the switch does not suggest the feature could negatively impact the performance/experience. Product-centric."
"enable_ccx_courses","edx/edx-analytics-dashboard",true,70,"RELEASE","Comment in PR351 indicates this is a partial feature."
"enable_video_preview","edx/edx-analytics-dashboard",false,211,"RELEASE","Still active under 'Feature Gating' section in README and code under the switch does not suggest the feature could negatively impact the performance/experience. Product-centric."
"feature_flag","edx/edx-analytics-dashboard",false,184,"UNKNOWN","Non-Waffle decorator to throw 404 when the passed toggle is not enabled. enable_learner_analytics is the only toggle using it. No other toggle used it and the decorator remains."
"enable_learner_analytics","edx/edx-analytics-dashboard",false,184,"RELEASE","Author states this toggle enables 'turn on this functionality for a percentage of users' in PR522. This toggle got renamed to 'display_learner_analytics'"
"flag_name","edx/edx-analytics-dashboard",false,169,"UNKNOWN","Same wrapper as switch_name. Uses display_learner_analytics."
"enable_performance_learning_outcome","edx/edx-analytics-dashboard",false,166,"RELEASE","PR464 reviewer clearly indicates this is a product centric feature and deserves a 'waffle switch'"
"enable_learner_download","edx/edx-analytics-dashboard",false,163,"OPS","A reviewer in PR533 says that the feature can be merged thanks to the toggle and they will 'have to do some load testing on a course with a large number of learners and the max_page_size turned off to see whether we can enable this for all edx.org courses'. Depends on enable_course_api"
"enable_problem_response_download","edx/edx-analytics-dashboard",false,161,"RELEASE","Product centric. Added to 'Feature Gates' section in README. Not related to possible performance issues."
"enable_course_filters","edx/edx-analytics-dashboard",false,139,"RELEASE","Toggle was introduced with a WIP implementation of the feature. See how code evolves along the commits and specially PR625 descriptions."
"enable_course_passing","edx/edx-analytics-dashboard",false,126,"RELEASE","Toggle spans multiple features of epic EDUCATOR-488 (e.g. EDUCATOR-150, EDUCATOR-151). Product-centric."
"get_programs_from_catalog","edx/edx-platform",true,3,"RELEASE","In 14373 author says this is a temp switch. Also, when removing, author indicates these are backendchanges and is still a preview."
"INVALIDATE_CACHE_ON_PUBLISH_SWITCH","edx/edx-platform",true,5,"UNKNOWN","This toggle is still alive today under a wrapper not Waffle. Possibly an OPS toggle, but tagging as UNKNOWN due to lack of complete traceability"
"waffle_switch_namesetting_name","edx/edx-platform",true,1,"UNKNOWN","Wrapper to multiple configuration settings for a feature called 'Block Structure framework'. Removed later, settings started using waffle_utils wrapper."
"waffle_name","edx/edx-platform",true,14,"UNKNOWN","Core wrapper, non Waffle."
"new_program_progress","edx/edx-platform",true,9,"OPS","In the deletion commit the author indicates the feature is released and stable, confident enough, the switch is removed. No signs of stability concerns."
"unified_course_view","edx/edx-platform",true,15,"RELEASE","Off by default, this feature hides a new user experience. Got deprecated for fully release and replaced by another flag non-Waffle, see LEARNER-1604"
"display_retired_programs_on_learner_dashboard","edx/edx-platform",true,1,"OPS","Deletion commit message indicates 'few days' was enough to stabilize the feature until confident"
"UNIFIED_COURSE_EXPERIENCE_FLAG","edx/edx-platform",true,5,"RELEASE","Product-centric, according to the code comments at introduction and removal of the toggle. Transitioned into a non-Waffle wrapper."
"UNIFIED_COURSE_VIEW_FLAG","edx/edx-platform",true,9,"RELEASE","Product-centric, according to the code comments at introduction and removal of the toggle. Transitioned into a non-Waffle wrapper."
"read_cached_programs","edx/edx-platform",true,1,"OPS","Author states in PR removing the toggle: 'flip the switch and verify things are stable'. Clearly looking the system behavior does not affect negatively."
"DISABLE_ACCOUNT_ACTIVATION_REQUIREMENT_SWITCH","edx/edx-platform",false,136,"RELEASE","Same DISABLE_ACCOUNT_ACTIVATION_REQUIREMENT_SWITCH."
"namespaced_switch_name","edx/edx-platform",false,133,"UNKNOWN","A non-Waffle wrapper."
"namespaced_flag_name","edx/edx-platform",false,133,"UNKNOWN","A non-Waffle wrapper."
"populate-multitenant-programs","edx/edx-platform",true,10,"RELEASE","Product-centric toggle under LEARNER-1111. However, author says still had to solve an 'issue of caching programs'"
"get-multitenant-programs","edx/edx-platform",true,9,"RELEASE","Product-centric toggle. Reviewer in LEARNER-1146 suggests the names of the toggles and says to the author he will be deleting the toggle when done."
"add-utm-params","edx/edx-platform",true,2,"OPS","Author in PR15664 says 'this seems to be an area with some uncertainty, I've added a waffle switch'."
"local_currency","edx/edx-platform",false,114,"RELEASE","'Product-centric', configuration to be decided by each operator (installation). As indicated by the code under the routers, the toggle name and because is aWaffle switch for all-or-nothing availability. Also used in edx-enterprise."
"..formatwaffle.WAFFLE_NAMESPACEwaffle.ENABLE_ACCESSIBILITY_POLICY_PAGE","edx/edx-platform",false,107,"RELEASE","'Product-centric', EDUCATOR-1830 explains this waffle flag (switch, actually) is used to hide the Accessibility Page feature. Indicates a configuration an operator will use for a given installation."
"student_records","edx/edx-platform",true,3,"RELEASE","Author indicates in a code comment this is temporary to hide the feature while working on it. Got transitioned to a flag after."
"ENABLE_SECONDARY_EMAIL_FEATURE_SWITCH","edx/edx-platform",false,54,"RELEASE","'Product-centric', each operator decides if switch should be enabled for a given installation. This is despite the commit message on the rollback indicates a potential issue when running the database migration inproduction. Guards against performance issues to gain confidence."
"course_duration_limits.enqueue_enabled","edx/edx-platform",true,35,"RELEASE","A comment in the code that lasted until removed indicates the feature enablement should be made with a non-toggle solution, which indicates the switch was used to hide work-in-progress"
"course_duration_limits.delivery_enabled","edx/edx-platform",true,35,"RELEASE","A comment in the code that lasted until removed indicates the feature enablement should be made with a non-toggle solution, which indicates the switch was used to hide work-in-progress"
"edit_project_detail","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'product owner' group."
"create_sprint","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'developer' or 'scrum' groups."
"create_project","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'scrum' group."
"projectlist","kh-004-webuipython/Jiller",false,6,"PERMISSION","This toggle (actual name is project:list) is used in a decorator (named delete_project) solely to allow/disallow a user from visiting the view to delete a project. In addition, no user/group restriction is indicated in the initial_data.json file. The code under the toggle delete_project depends on project:list. However, given the context in which this toggle is created (see README.md and commit message) it is used as a permissioning toggle."
"create_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'scrum' and 'product owner' groups."
"edit_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'scrum' and 'product owner' groups."
"delete_project","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'product owner' group."
"push_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","README.md and init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'developer' and 'scrum' groups."
"prioritize_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'product owner' group."
"create_team","kh-004-webuipython/Jiller",false,6,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'project manager' group."
"update_team","kh-004-webuipython/Jiller",false,6,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'project manager' group."
"only_developer","kh-004-webuipython/Jiller",true,1,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'developer' group."
"edit_sprint","kh-004-webuipython/Jiller",false,5,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in the 'scrum' group."
"read_workflow_manager","kh-004-webuipython/Jiller",false,4,"PERMISSION","init_data.json changes on first commit clearly show this toggle is used to enable the feature for users in any of the created groups."
