name,languages,package_manager_data,imports_or_usage,repositories
launchdarkly,"Kotlin,Java","com.launchdarkly:launchdarkly-client,Maven",com.launchdarkly.client,https://github.com/launchdarkly/android-client
Togglz,"Kotlin,Java","org.togglz:togglz-core,Maven",org.togglz.core,https://github.com/togglz/togglz
FF4J,"Kotlin,Java","org.ff4j:ff4j-core,Maven","org.ff4j.FF4j,org.ff4j.core",https://github.com/ff4j/ff4j
Flip,"Kotlin,Java","com.tacitknowledge.flip:core,Maven",com.tacitknowledge.flip, https://github.com/tacitknowledge/flip
launchdarkly,"Objective-C,Swift","LaunchDarkly,CocoaPods
launchdarkly/ios-client,Carthage","Darkly.h,LaunchDarkly",https://github.com/launchdarkly/ios-client
launchdarkly,PHP,"launchdarkly/launchdarkly-php,Packagist",LaunchDarkly\LDClient, https://github.com/launchdarkly/php-client
Symfony FeatureFlagsBundle,PHP,"dzunke/feature-flags-bundle,Packagist",DZunke\FeatureFlagsBundle\DZunkeFeatureFlagsBundle, https://github.com/DZunke/FeatureFlagsBundle
Toggle,PHP,,Qandidate\Toggle, https://github.com/qandidate-labs/qandidate-toggle
rollout,PHP,"opensoft/rollout,Packagist",Opensoft\Rollout, https://github.com/opensoft/rollout
Bandiera,PHP,"npg/bandiera-client-php,Packagist",Nature\Bandiera\Client, https://github.com/springernature/bandiera-client-php
unleash-client-python,Python,"UnleashClient,Pypi",UnleashClient, https://github.com/Unleash/unleash-client-python
launchdarkly,Python,"ldclient-py,Pypi",ldclient,https://github.com/launchdarkly/python-client
Flask FeatureFlags,Python,"Flask-FeatureFlags,Pypi",flask_featureflags, https://github.com/trustrachel/Flask-FeatureFlags
Gutter,Python,"gutter,Pypi",gutter.client.default, https://github.com/disqus/gutter
Feature Ramp,Python,"feature_ramp,Pypi",feature_ramp.Feature, https://github.com/venmo/feature_ramp
flagon,Python,"flagon,Pypi","flagon.backends.db_django,flagon.feature", https://github.com/ashcrow/flagon
Waffle,Python,"django-waffle,Pypi",waffle," https://github.com/jsocol/django-waffle
https://github.com/django-waffle/django-waffle"
Gargoyle,Python,"gargoyle,Pypi
gargoyle-yplan,Pypi","gargoyle.decorators,gargoyle"," https://github.com/YPlan/gargoyle
https://github.com/disqus/gargoyle"
unleash-client-ruby,Ruby,"unleash,Rubygems","unleash,unleash-context", https://github.com/unleash/unleash-client-ruby
launchdarkly,Ruby,"ldclient-rb,Rubygems",, https://github.com/launchdarkly/ruby-client
rollout,Ruby,"rollout,Rubygems",, https://github.com/fetlife/rollout
FeatureFlipper,Ruby,"feature_flipper,Rubygems",, https://github.com/theflow/feature_flipper
Flip,Ruby,"flip,Rubygems",feature, https://github.com/pda/flip
Setler,Ruby,"setler,Rubygems",, https://github.com/ckdake/setler
Bandiera,Ruby,"bandiera-client,Rubygems",bandiera/client, https://github.com/springernature/bandiera-client-ruby
Feature,Ruby,"feature,Rubygems",, https://github.com/mgsnova/feature
Flipper,Ruby,"flipper,Rubygems",, https://github.com/jnunemaker/flipper
Bandiera,Scala,"com.springernature:bandiera-client-scala_2.12,Maven
com.springernature:bandiera-client-scala_2.11,Maven","com.springernature.bandieraclientscala,BandieraClient", https://github.com/springernature/bandiera-client-scala
